Date,Station,PM25,PM10,NO2,SO2,O3,CO
2018-06-01,DMS,84.0,,33.0,6.0,53.0,0.5
2018-06-01,DTU,47.0,216.0,52.0,,,
2018-06-01,IHBAS,83.0,,22.0,5.0,,1.0
2018-06-01,ITO,135.0,218.0,108.0,,,
2018-06-01,NSIT,107.0,,25.0,5.0,50.0,0.7
2018-06-01,Sirifort,48.0,216.0,,,,
2018-06-02,DMS,47.0,,33.0,7.0,58.0,0.8
2018-06-02,DTU,41.0,163.0,40.0,,,
2018-06-02,IHBAS,53.0,,24.0,8.0,,1.0
2018-06-02,ITO,129.0,180.0,106.0,,,
2018-06-02,NSIT,81.0,,35.0,12.0,76.0,0.7
2018-06-02,Sirifort,47.0,184.0,,,,
2018-06-03,DMS,40.0,,34.0,5.0,55.0,0.6
2018-06-03,DTU,57.0,179.0,31.0,,,
2018-06-03,IHBAS,51.0,,21.0,6.0,,0.9
2018-06-03,ITO,195.0,252.0,95.0,,,
2018-06-03,NSIT,62.0,,26.0,7.0,55.0,0.8
2018-06-03,Sirifort,46.0,161.0,,,,
2018-06-04,DMS,40.0,,29.0,6.0,61.0,0.6
2018-06-04,DTU,55.0,220.0,31.0,,,
2018-06-04,IHBAS,81.0,,21.0,5.0,,1.1
2018-06-04,ITO,188.0,244.0,105.0,,,
2018-06-04,NSIT,65.0,,25.0,5.0,44.0,0.8
2018-06-04,Sirifort,48.0,196.0,,,,
2018-06-05,DMS,46.0,,32.0,5.0,60.0,0.6
2018-06-05,DTU,52.0,189.0,31.0,,,
2018-06-05,IHBAS,58.0,,21.0,5.0,,0.7
2018-06-05,ITO,,,91.0,,,
2018-06-05,NSIT,70.0,,26.0,4.0,37.0,0.7
2018-06-05,Sirifort,43.0,171.0,43.0,,,
2018-06-06,DMS,44.0,,40.0,7.0,45.0,0.6
2018-06-06,DTU,56.0,174.0,31.0,,,
2018-06-06,IHBAS,56.0,,22.0,8.0,,1.1
2018-06-06,ITO,71.0,105.0,,,,
2018-06-06,NSIT,63.0,,31.0,3.0,39.0,1.0
2018-06-06,Sirifort,50.0,184.0,24.0,,,
2018-06-07,DMS,45.0,,50.0,8.0,85.0,0.6
2018-06-07,DTU,73.0,195.0,31.0,,,
2018-06-07,IHBAS,66.0,,24.0,17.0,,0.7
2018-06-07,ITO,115.0,163.0,,,,
2018-06-07,NSIT,69.0,,30.0,3.0,55.0,0.9
2018-06-07,Sirifort,61.0,205.0,28.0,,,
2018-06-08,DMS,50.0,,42.0,6.0,58.0,0.7
2018-06-08,DTU,56.0,194.0,31.0,,,
2018-06-08,IHBAS,60.0,,19.0,9.0,,0.8
2018-06-08,ITO,121.0,172.0,98.0,,,
2018-06-08,NSIT,62.0,,57.0,4.0,34.0,1.0
2018-06-08,Sirifort,54.0,205.0,21.0,,,
2018-06-09,DMS,42.0,,60.0,6.0,54.0,1.4
2018-06-09,DTU,47.0,138.0,30.0,,,
2018-06-09,IHBAS,66.0,,13.0,14.0,,0.9
2018-06-09,ITO,176.0,215.0,78.0,,,
2018-06-09,NSIT,71.0,,26.0,6.0,43.0,0.9
2018-06-09,Sirifort,46.0,125.0,22.0,,,
2018-06-10,DMS,71.0,,70.0,7.0,72.0,0.4
2018-06-10,DTU,72.0,182.0,29.0,,,
2018-06-10,IHBAS,83.0,,18.0,11.0,,1.7
2018-06-10,ITO,173.0,222.0,81.0,,,
2018-06-10,NSIT,81.0,,24.0,3.0,56.0,0.9
2018-06-10,Sirifort,55.0,187.0,21.0,,,
2018-06-11,DMS,66.0,,62.0,7.0,58.0,0.5
2018-06-11,DTU,69.0,278.0,29.0,,,
2018-06-11,IHBAS,91.0,,34.0,14.0,,1.0
2018-06-11,ITO,167.0,251.0,79.0,,,
2018-06-11,NSIT,97.0,,25.0,2.0,54.0,0.7
2018-06-11,Sirifort,62.0,285.0,20.0,,,
2018-06-12,DMS,308.0,,54.0,8.0,27.0,0.5
2018-06-12,DTU,157.0,813.0,28.0,,,
2018-06-12,IHBAS,298.0,,37.0,21.0,,0.9
2018-06-12,ITO,362.0,839.0,71.0,,,
2018-06-12,NSIT,299.0,,23.0,2.0,26.0,0.6
2018-06-12,Sirifort,133.0,,12.0,,,
2018-06-13,DMS,460.0,,45.0,8.0,27.0,0.4
2018-06-13,DTU,285.0,801.0,26.0,,,
2018-06-13,IHBAS,551.0,,25.0,17.0,,1.2
2018-06-13,ITO,510.0,923.0,59.0,,,
2018-06-13,NSIT,464.0,,33.0,3.0,34.0,0.5
2018-06-13,Sirifort,221.0,,18.0,,,
2018-06-14,DMS,253.0,,48.0,8.0,33.0,0.4
2018-06-14,DTU,157.0,981.0,27.0,,,
2018-06-14,IHBAS,334.0,,28.0,22.0,,0.9
2018-06-14,ITO,330.0,679.0,49.0,,,
2018-06-14,NSIT,293.0,,20.0,10.0,36.0,0.5
2018-06-14,Sirifort,131.0,910.0,24.0,,,
2018-06-15,DMS,166.0,,51.0,8.0,37.0,0.5
2018-06-15,DTU,116.0,741.0,27.0,,,
2018-06-15,IHBAS,270.0,,30.0,15.0,,0.6
2018-06-15,ITO,254.0,413.0,56.0,,,
2018-06-15,NSIT,198.0,,22.0,12.0,41.0,0.5
2018-06-15,Sirifort,94.0,620.0,25.0,,,
2018-06-16,DMS,126.0,,38.0,8.0,46.0,0.4
2018-06-16,DTU,108.0,568.0,27.0,,,
2018-06-16,IHBAS,192.0,,31.0,9.0,,0.8
2018-06-16,ITO,127.0,418.0,60.0,,,
2018-06-16,NSIT,160.0,,20.0,10.0,51.0,0.6
2018-06-16,Sirifort,89.0,501.0,24.0,,,
2018-06-17,DMS,63.0,,20.0,4.0,44.0,0.4
2018-06-17,DTU,49.0,181.0,26.0,,,
2018-06-17,IHBAS,75.0,,24.0,8.0,,0.8
2018-06-17,ITO,112.0,181.0,53.0,,,
2018-06-17,NSIT,89.0,,19.0,8.0,59.0,0.5
2018-06-17,Sirifort,57.0,212.0,,,,
2018-06-18,DMS,69.0,,38.0,8.0,64.0,0.4
2018-06-18,DTU,46.0,151.0,26.0,,,
2018-06-18,IHBAS,84.0,,36.0,10.0,,0.9
2018-06-18,ITO,70.0,139.0,55.0,,,
2018-06-18,NSIT,67.0,,20.0,7.0,68.0,0.7
2018-06-18,Sirifort,48.0,192.0,31.0,,,
2018-06-19,DMS,62.0,,51.0,8.0,63.0,0.4
2018-06-19,DTU,53.0,187.0,28.0,,,
2018-06-19,IHBAS,59.0,,31.0,9.0,,0.9
2018-06-19,ITO,70.0,139.0,66.0,,,
2018-06-19,NSIT,76.0,,20.0,6.0,91.0,0.8
2018-06-19,Sirifort,49.0,199.0,32.0,,,
2018-06-20,DMS,102.0,,55.0,8.0,65.0,0.4
2018-06-20,DTU,58.0,261.0,27.0,,,
2018-06-20,IHBAS,72.0,,42.0,12.0,,1.0
2018-06-20,ITO,88.0,191.0,91.0,,,
2018-06-20,NSIT,86.0,,20.0,6.0,89.0,0.9
2018-06-20,Sirifort,61.0,256.0,31.0,,,
2018-06-21,DMS,114.0,,68.0,13.0,95.0,0.5
2018-06-21,DTU,65.0,320.0,28.0,,,
2018-06-21,IHBAS,94.0,,48.0,11.0,,0.9
2018-06-21,ITO,92.0,247.0,96.0,,,
2018-06-21,NSIT,110.0,,23.0,7.0,101.0,1.0
2018-06-21,Sirifort,67.0,348.0,30.0,,,
2018-06-22,DMS,84.0,,80.0,12.0,93.0,0.4
2018-06-22,DTU,85.0,258.0,29.0,,,
2018-06-22,IHBAS,110.0,,62.0,21.0,,1.5
2018-06-22,ITO,116.0,216.0,126.0,,,
2018-06-22,NSIT,89.0,,27.0,7.0,95.0,1.1
2018-06-22,Sirifort,72.0,299.0,33.0,,,
2018-06-23,DMS,79.0,,64.0,9.0,100.0,0.3
2018-06-23,DTU,71.0,264.0,27.0,,,
2018-06-23,IHBAS,79.0,,54.0,19.0,,2.1
2018-06-23,ITO,108.0,202.0,86.0,,,
2018-06-23,NSIT,112.0,,22.0,5.0,95.0,1.1
2018-06-23,Sirifort,66.0,299.0,29.0,,,
2018-06-24,DMS,64.0,,65.0,10.0,72.0,0.3
2018-06-24,DTU,52.0,211.0,27.0,,,
2018-06-24,IHBAS,64.0,,41.0,16.0,,1.1
2018-06-24,ITO,100.0,196.0,81.0,,,
2018-06-24,NSIT,80.0,,22.0,6.0,78.0,1.1
2018-06-24,Sirifort,55.0,242.0,25.0,,,
2018-06-25,DMS,68.0,,42.0,8.0,55.0,0.3
2018-06-25,DTU,50.0,319.0,26.0,,,
2018-06-25,IHBAS,87.0,,37.0,15.0,,0.9
2018-06-25,ITO,129.0,269.0,64.0,,,
2018-06-25,NSIT,103.0,,20.0,5.0,63.0,0.9
2018-06-25,Sirifort,54.0,360.0,19.0,,,
2018-06-26,DMS,66.0,,52.0,10.0,39.0,0.3
2018-06-26,DTU,45.0,165.0,27.0,,,
2018-06-26,IHBAS,68.0,,38.0,14.0,,0.8
2018-06-26,ITO,81.0,165.0,75.0,,,
2018-06-26,NSIT,71.0,,20.0,5.0,51.0,0.9
2018-06-26,Sirifort,52.0,234.0,23.0,,,
2018-06-27,DMS,50.0,,43.0,7.0,53.0,0.3
2018-06-27,DTU,37.0,76.0,27.0,,,
2018-06-27,IHBAS,52.0,,28.0,11.0,,1.1
2018-06-27,ITO,157.0,230.0,71.0,,,
2018-06-27,NSIT,50.0,,17.0,5.0,66.0,1.2
2018-06-27,Sirifort,32.0,73.0,21.0,,,
2018-06-28,DMS,43.0,,41.0,8.0,40.0,0.3
2018-06-28,DTU,30.0,71.0,27.0,,,
2018-06-28,IHBAS,45.0,,29.0,12.0,,0.7
2018-06-28,ITO,57.0,115.0,62.0,,,
2018-06-28,NSIT,41.0,,18.0,7.0,29.0,0.8
2018-06-28,Sirifort,18.0,50.0,21.0,,,
2018-06-29,DMS,55.0,,45.0,7.0,41.0,0.5
2018-06-29,DTU,43.0,91.0,28.0,,,
2018-06-29,IHBAS,47.0,,22.0,6.0,,0.6
2018-06-29,ITO,58.0,121.0,71.0,,,
2018-06-29,NSIT,41.0,,19.0,8.0,44.0,1.1
2018-06-29,Sirifort,38.0,,19.0,,,
2018-06-30,DMS,71.0,,60.0,11.0,38.0,0.5
2018-06-30,DTU,42.0,93.0,26.0,,,
2018-06-30,IHBAS,50.0,,24.0,8.0,,0.6
2018-06-30,ITO,53.0,121.0,74.0,,,
2018-06-30,NSIT,49.0,,18.0,5.0,45.0,1.6
2018-06-30,Sirifort,33.0,110.0,23.0,,,
